City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Baker,US,58.82,clear sky,30.5882,-91.1682,Executive Inn And Suites Baker
250,Diffa,NE,73.42,scattered clouds,13.3154,12.6113,ProDAF/Diffa
252,Acapulco,MX,78.62,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
253,Shimoda,JP,65.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
256,Bogorodskoye,RU,43.57,light rain,56.55,37.8833,Sosnoviy Bor
257,Carnarvon,AU,71.04,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
260,Varzea Da Palma,BR,68.79,broken clouds,-17.5981,-44.7308,Casa Fernandes
263,Miraflores,MX,59.65,clear sky,19.2167,-98.8083,Hotel Mansión
264,Littlehampton,GB,58.95,overcast clouds,50.8069,-0.5378,Bailiffscourt Hotel & Spa
266,Kahului,US,77.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
267,Idah,NG,73.15,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
270,Baiao,BR,71.62,broken clouds,-2.7906,-49.6717,Município de Baião
271,Pakala,IN,75.61,moderate rain,13.4667,79.1167,ViswanathBollineni guesthouse @
272,Namibe,AO,64.98,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
273,Asau,RO,45.52,light rain,46.4333,26.4,Casa Mika Ciobanus
274,Sivas,TR,41.63,broken clouds,39.7916,37.0019,Sivas Sultan Otel
275,Guerrero Negro,MX,63.43,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
277,Faya,SA,66.72,few clouds,18.3851,42.4509,شيلة نسايم
279,Fukue,JP,69.26,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
283,Ahipara,NZ,64.87,few clouds,-35.1667,173.1667,Ahipara Holiday Park
284,Rio Cuarto,AR,67.77,thunderstorm with rain,-33.1307,-64.3499,Hotel Menossi
285,Rio Grande,BR,63.77,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
287,Acarau,BR,78.01,few clouds,-2.8856,-40.12,castelo pizzaria
289,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
290,Columbus,US,61.32,overcast clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
291,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
292,Oyama,JP,68.68,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
295,Ancud,CL,52.36,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
296,Porto Novo,BJ,77.45,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
301,Batemans Bay,AU,67.1,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
303,Russell,US,65.91,moderate rain,32.3502,-85.1999,Macs
304,Pecos,US,63.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
